finding_id,severity,confidence,status,title,surface,affected_users,file,line,database_object,edge_function,route,impact,root_cause,recommended_fix,verification_test,production_verification_needed
F-001,P1,high,confirmed,"Direct deal writes bypass canonical publish eligibility","Mobile owner API / PostgREST","Businesses and shoppers","supabase/migrations/20260812130000_consolidate_deals_rls_policies.sql","110-127","public.deals; can_business_publish","publish-offer-version","Direct deals insert/update","Ineligible owners can publish active deals outside the reviewed path","Final RLS checks ownership only while live defaults and stronger checks live elsewhere","Enforce one atomic database-authoritative publish transition and deny direct live-state writes","Attempt direct REST publication for every ineligible/cross-owner state and require denial with no row change",yes
F-002,P1,high,confirmed,"Pending or unverified businesses are publicly discoverable","Public browse map search and RPC","Businesses and shoppers","supabase/migrations/20260802141000_nearby_geo_rpcs_include_unlocated.sql","24-53","public.businesses; nearby_businesses",,"Browse/map/search","Unapproved or impersonating business contact/location data can appear publicly","Public grants and RPCs lack one approved-active-verified lifecycle predicate","Apply one public-business predicate to RLS RPCs joins shares and fallbacks","Query every lifecycle/location fixture anonymously through all public paths and require only safe approved rows",yes
F-003,P1,high,confirmed,"Shared client-embedded business invite is not a secure gate","Business signup","Prospective businesses and existing merchants","lib/business-invite.ts","3-17","business invite validation; businesses",,"/business-setup","Arbitrary users can open merchant applications and compound discovery/publication weaknesses","Reusable authority is shipped in the untrusted client","Use scoped expiring server-issued invitations or reviewed open applications","Inspect bundle and attempt reuse expiry cross-user and direct-insert cases; only one safe pending application may result",no
F-004,P1,high,confirmed,"Claim and release paths ignore redemption grace","Claims redemption and wallet","Shoppers and business staff","supabase/functions/claim-deal/index.ts","523-551","claims","claim-deal; release-claim","Claim/release actions","A still-redeemable claim can be expired and a second logical claim allowed","Expiration semantics are duplicated and disagree with the shared grace rule","Centralize effective expiration across claim release redeem wallet cleanup and reads","Exercise exact nominal/grace boundaries and parallel claim/release/redeem; require one valid atomic outcome",no
F-005,P1,high,confirmed,"Checkout trusts client-controlled source and price","Stripe Checkout","Paying business owners","supabase/functions/stripe-create-checkout-session/index.ts","230-340","billing/subscription records","stripe-create-checkout-session","Billing checkout","An owner can initiate an unsupported charge and later receive no entitlement","Untrusted request selectors override the server product and bypass a purchase-surface check","Resolve allowlisted price mode and environment solely on the server","In Stripe test mode forge source and price values; no Session may contain a caller-selected price",yes
F-006,P2,high,confirmed,"Billing token consumption is non-atomic","Checkout links","Business owners","supabase/functions/stripe-create-checkout-session/index.ts","143-162","billing checkout tokens","stripe-create-checkout-session","Billing link exchange","Concurrent replay can create multiple Checkout Sessions","Token count read and update are separate without a conditional atomic consume","Consume in one conditional RPC/update and require exactly one returned row","Send synchronized requests with one token; exactly one may consume/create a Session",no
F-007,P2,high,confirmed,"Expo Doctor fails native dependency checks","Native dependency/build configuration","All mobile users","package.json",,"Node dependency graph",,"Mobile startup/build","Duplicate React Native and an unverified New Architecture module threaten build/runtime reliability","Installed dependency graph is not SDK-54-clean","Resolve through Expo-supported versions and validate the launch-arguments dependency","Clean install then require one compatible React Native and passing Doctor/Metro/debug/approved build smoke",no
F-008,P2,high,confirmed,"Business onboarding mobile checks fail","Public business website","Prospective business owners","website/business/start-trial/index.html","76;114",,,"/business/start-trial","Mobile conversion/accessibility suffers and release checks mix stale and real failures","Missing jump/layout affordance plus obsolete assertion contract","Approve current copy add accessible jump correct mobile layout and align tests","Run both website checks and keyboard/screen-reader/small-viewport navigation; all must pass",yes
F-009,P2,high,confirmed,"Share landing never resolves deal or status","Public Share Deal website","Share recipients and shoppers","website/s/index.html",,"lookup_deal_share",,"/s/<code>","Recipients cannot identify offers and invalid/expired states are indistinguishable","Static page never calls the available safe lookup","Use a narrow state-aware lookup and safe preview with app/store fallback","Open valid expired redeemed disabled missing and malformed fixtures; show only approved fields and correct states",yes
F-010,P2,high,confirmed,"Website has no store download destinations","Public website acquisition","Prospective shoppers and businesses","website/store-links.js","3-5",,,"Download/share CTAs","Visitors cannot reach official app listings","Both configured store URLs are null pending listings","Add approved listing URLs and verify every CTA/deep-link fallback","Check every CTA on iOS Android and desktop against official package listings",yes
